step,wall_time,tag,type,value
10,1745181105.8337762,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6049782037734985
11,1745182002.429461,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6108264923095703
12,1745182902.5394292,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.4312683641910553
13,1745183792.1436212,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5170742869377136
14,1745184693.3149397,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5306700468063354
15,1745185595.4931862,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6963430047035217
16,1745186496.719806,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6617724895477295
17,1745187405.2420053,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6215581893920898
18,1745188306.2920358,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7153743505477905
19,1745189207.7146785,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5663052797317505
20,1745190256.048104,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6926215887069702
21,1745191170.6378026,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.3560355305671692
22,1745192071.8583925,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.591058611869812
23,1745192964.19889,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5874950289726257
24,1745193856.0695903,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.647044837474823
25,1745194746.122096,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7640210390090942
26,1745195628.7144954,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.43498626351356506
27,1745196516.4116752,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5474361181259155
28,1745197400.5585084,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5075217485427856
